condition,bearing,n_snapshots,life_hours,fpt_index,lead_time_hours,lead_frac_of_life,mae_hours,rmse_hours,n_eval,hi_base,hi_fail
35Hz12kN,Bearing1_1,123,2.033333333333333,13,1.8166666666666664,0.8934426229508196,0.5233880139378595,0.6536261794485672,106,0.6001835045456756,3.778452104821082
35Hz12kN,Bearing1_2,161,2.6666666666666665,37,2.05,0.7687499999999999,1.3887748296003017,1.4899617632871325,116,0.6093847971031136,4.536166289364616
35Hz12kN,Bearing1_3,158,2.6166666666666667,13,2.4,0.9171974522292993,0.47119065558274364,0.5984221379882705,134,0.497945877386777,4.22503864400477
35Hz12kN,Bearing1_4,122,2.0166666666666666,87,0.5666666666666667,0.2809917355371901,0.37237637202825485,0.39353396157192244,10,0.4365619905886292,0.4977016068395138
35Hz12kN,Bearing1_5,52,0.85,27,0.39999999999999997,0.47058823529411764,0.07113540138080358,0.08748087617208632,21,0.9683499199761177,5.6679389795673565
37.5Hz11kN,Bearing2_1,491,8.166666666666666,454,0.5999999999999996,0.073469387755102,0.24296329386064644,0.27920360548379114,33,0.4272565732428594,3.278310317881424
37.5Hz11kN,Bearing2_2,161,2.6666666666666665,48,1.8666666666666665,0.7,0.9671379541191177,1.062063717201655,83,0.5068017547171615,5.285911322647675
37.5Hz11kN,Bearing2_3,533,8.866666666666667,129,6.716666666666667,0.7575187969924811,2.532903126995062,3.073447835694624,343,0.43758692571367386,4.767432514119064
37.5Hz11kN,Bearing2_4,42,0.6833333333333333,11,0.5,0.7317073170731707,0.305598432596533,0.34277827531931726,27,0.5351215468447923,5.394022534804982
37.5Hz11kN,Bearing2_5,339,5.633333333333334,123,3.583333333333334,0.636094674556213,1.1639751887698164,1.4920952565244276,186,1.1414761561210696,9.803243272580612
40Hz10kN,Bearing3_1,2538,42.28333333333333,14,42.05,0.9944816712652739,15.630833777525961,19.675746983061938,1460,0.5005296722323764,2.4580799845401127
40Hz10kN,Bearing3_2,2496,41.583333333333336,13,41.36666666666667,0.9947895791583166,16.944796354456233,21.14077919328941,1369,0.8479482366578421,3.0503347812534445
40Hz10kN,Bearing3_3,371,6.166666666666667,343,0.4500000000000002,0.072972972972973,0.1913710300407638,0.22320815832028518,24,0.5682214594948272,4.581959143522399
40Hz10kN,Bearing3_4,1515,25.233333333333334,1419,1.5833333333333357,0.06274768824306481,0.5680256936772322,0.6428743680833233,92,0.5635845820287695,5.317468967728063
40Hz10kN,Bearing3_5,114,1.8833333333333333,11,1.7,0.9026548672566371,0.7465429401122682,0.8987685069067892,99,0.7663703841775487,6.212012733648153
